District,pct_ICU,daily_tests_per_million_14ma,TPR,rate_increase_new_cases,daily_cases_per_million,category,dates,is_change
Nanded,100,471.85702323537436,1.867890080052432,-120.80378250591014,1260.5272020401678,RED,2020-11-14,False
Nanded,100,472.2914530275328,1.8950141872719903,-112.19512195121953,756.8518295940966,RED,2020-11-15,False
Nanded,100,485.4923620123647,1.7207076410173683,-137.87465940054494,754.1742877441175,RED,2020-11-16,False
Nanded,100,536.555601249671,1.5764122025981608,-131.80592991913747,812.7827037936603,RED,2020-11-17,False
Nanded,100,527.757895920953,1.5631183221210923,-124.24242424242429,1490.7958011383719,RED,2020-11-18,False
Nanded,100,527.6273661683015,1.4892880114788976,-113.21839080459769,1646.6882377371558,RED,2020-11-19,False
Nanded,100,529.2720410517117,1.7559435730492257,-76.67493796526054,1677.9262259869122,RED,2020-11-20,False
Nanded,100,547.5984183239964,1.9355453852021358,-42.38410596026491,1713.6267839866337,RED,2020-11-21,False
Nanded,100,570.1539595821931,2.01007326007326,-20.98765432098765,1711.54425143665,RED,2020-11-22,False
Nanded,100,589.4201510735694,2.068385153689432,-12.062256809338527,1235.5368114403627,RED,2020-11-23,False
Nanded,100,612.8894006003272,2.0999275887038378,-2.4074074074074128,1618.1277913373785,RED,2020-11-24,False
Nanded,100,632.2600158938247,2.1016557248441305,9.352517985611513,1832.3311393357078,RED,2020-11-25,False
Nanded,100,651.7611609399739,2.114876231675078,14.956521739130425,1905.8147878851346,RED,2020-11-26,False
Nanded,100,673.6118415338519,2.026896097353021,19.649122807017545,1840.0662602356474,RED,2020-11-27,False
Nanded,100,676.0592743960696,1.9822307174967257,27.444253859348205,1774.615237236158,RED,2020-11-28,False
Nanded,100,675.4131521204441,2.1422030350601777,38.43843843843844,1649.365779587135,RED,2020-11-29,False
Nanded,100,657.3012165846584,2.15946325479794,46.96531791907515,1141.525342041096,RED,2020-11-30,False
Nanded,100,619.456911869455,2.2649006622516556,45.76023391812865,1466.6979244885597,RED,2020-12-01,False
Nanded,100,631.2922310134506,2.1996945771192773,46.38109305760709,996.6405774922262,RED,2020-12-02,False
Nanded,100,634.533098300715,2.2110877646678517,49.122807017543856,1541.669096287975,RED,2020-12-03,False
Nanded,100,635.9279019433347,2.0320614134116055,36.03174603174603,1555.651814837866,RED,2020-12-04,False
Nanded,100,629.0154191850565,1.9109111067631905,22.6962457337884,1464.3178872885783,RED,2020-12-05,False
Nanded,100,615.1084063954045,1.9207683073229291,15.625000000000005,1415.2296200389612,RED,2020-12-06,False
Nanded,100,601.4680472433122,1.885891620911912,7.0524412296564165,914.8267987428643,RED,2020-12-07,False
Nanded,100,586.0021362648496,1.8096538205747488,-4.448742746615076,1197.7537208906576,RED,2020-12-08,False
Nanded,100,574.5565416680563,1.7707329263503624,-12.096774193548383,1481.8706616384413,RED,2020-12-09,False
Nanded,100,553.860117029769,1.766535812162062,-20.545073375262056,1137.6577815911262,RED,2020-12-10,False
Nanded,100,541.9222387944039,1.9341408024224072,-11.54598825831703,1269.749846190096,RED,2020-12-11,False
Nanded,100,531.256093292016,1.9691119691119692,-14.31372549019608,1267.072304340117,RED,2020-12-12,False
Nanded,100,520.7540423358186,1.740979990546715,-50.67873303167419,1105.8247840413746,RED,2020-12-13,False
Nanded,100,517.2465214109949,1.6615775072371812,-65.15513126491649,877.3412128431568,RED,2020-12-14,False
Nanded,100,516.7542377724232,1.631405549160481,-66.42335766423356,1024.0110052920127,RED,2020-12-15,False
Nanded,100,511.42116502122906,1.7246219869249588,-57.44186046511626,-1759.4425000862764,GREEN,2020-12-16,True
Nanded,100,507.17521863854773,1.7107498180053384,-61.70212765957445,1154.3180419909963,RED,2020-12-17,True
Nanded,100,501.226791339139,1.6410214437714847,-57.1072319201995,1188.2335720907317,RED,2020-12-18,False
Nanded,100,495.2578522214566,1.7643404431559329,-37.558685446009385,1172.1683209908572,RED,2020-12-19,False
Nanded,100,490.2529685626438,1.7363290238902138,-38.79518072289158,1133.7902211411565,RED,2020-12-20,False
Nanded,100,486.62237672817713,1.7282077221379195,-34.87804878048781,843.1281780934236,RED,2020-12-21,False
Nanded,100,484.34556489978274,1.7617414136280862,-24.278846153846157,924.0494428927924,RED,2020-12-22,False
Nanded,100,477.4898840998011,1.8227239082161362,-7.826086956521756,1164.1356954409198,RED,2020-12-23,False
Nanded,100,523.7897914403444,1.7122132253711202,-1.059322033898296,1065.0666469916926,RED,2020-12-24,False
Nanded,100,519.2393234479056,1.5995915936356675,-15.610859728506782,1020.7384541420382,RED,2020-12-25,False
Nanded,100,508.03987067039816,1.5783294925866342,-18.881118881118887,849.0782710933772,RED,2020-12-26,False
Nanded,100,499.6016241989823,1.5917230401910067,-3.755868544600949,985.9304100923098,RED,2020-12-27,False
Nanded,100,496.66370068930087,1.6589574808752892,4.555808656036453,743.1666156942033,RED,2020-12-28,False
Nanded,100,495.7580250209029,1.7466470614445484,10.262008733624455,897.8690336929966,RED,2020-12-29,False
Nanded,100,500.06550685840574,1.8552875695732838,11.522633744855966,1052.2739470417923,RED,2020-12-30,False
Nanded,100,508.1061396217443,1.8476654203982263,13.849287169042762,1043.9438168418571,RED,2020-12-31,False
Nanded,100,516.5443860931601,1.8217584673280875,18.4959349593496,1048.4063865918224,RED,2021-01-01,False
Nanded,100,519.040516593867,1.8129974039239052,13.414634146341475,957.3699636925326,RED,2021-01-02,False
Nanded,100,524.0990465466267,1.8713647475343504,18.62745098039216,976.410261292384,RED,2021-01-03,False
Nanded,100,528.8704110435528,1.7584161724166736,15.811088295687885,1450.3351687386873,RED,2021-01-04,False
Nanded,100,530.5271348272079,1.6738143814797852,11.111111111111114,940.1146939926671,RED,2021-01-05,False
Nanded,100,534.4149133061848,1.7924311046288477,1.498929336188437,1303.6653762898313,RED,2021-01-06,False
Nanded,100,497.5141522315771,1.9748505462791177,1.4613778705636742,1109.3948398413468,RED,2021-01-07,False
Nanded,100,502.3344295259255,1.9804001633319723,8.865979381443303,1098.6846724414302,RED,2021-01-08,False
Nanded,100,514.1082132150999,2.0467602936482603,16.37426900584796,1065.3641516416901,RED,2021-01-09,False
Nanded,100,521.1027432464736,1.9641802794725447,14.62925851703408,1058.5215446917434,RED,2021-01-10,False
Nanded,100,521.5950268850454,2.0252467655039523,14.757281553398053,725.3163366943426,RED,2021-01-11,False
Nanded,100,521.9027041591526,1.9965414243043547,9.842519685039365,873.4736523931869,RED,2021-01-12,False
Nanded,100,516.0568359511132,1.9794109463810168,2.4096385542168592,1057.926535391748,RED,2021-01-13,False
Nanded,100,507.77006136848865,2.0278731569379924,2.1912350597609533,1064.7691423416948,RED,2021-01-14,False
